,Whatch_name,Watch_os,Watch_proff
0,<h3>Apple Watch Series 7</h3>,"<div class=""value"">Android</div>","<div class=""value"">Yes</div>"
1,<h3>Samsung Galaxy Watch4</h3>,"<div class=""value"">Android</div>","<div class=""value"">Yes</div>"
2,<h3>Garmin Fenix 7X Solar</h3>,"<div class=""value"">NA</div>","<div class=""value"">NA</div>"
3,<h3>Fitbit Sense</h3>,"<div class=""value"">YES</div>","<div class=""value"">YES</div>"
4,<h3>Mobvoi Ticwatch E3</h3>,"<div class=""value"">NA</div>","<div class=""value"">Yes</div>"
5,<h3>Apple Watch SE</h3>,"<div class=""value"">NA</div>","<div class=""value"">YES</div>"
6,<h3>Fossil Gen 6</h3>,"<div class=""value"">NA</div>","<div class=""value"">Yes</div>"
7,<h3>Amazfit T-Rex Pro</h3>,"<div class=""value"">iOS, Android</div>","<div class=""value"">Yes</div>"
8,<h3>OPPO Watch</h3>,"<div class=""value"">Android</div>","<div class=""value"">Yes</div>"
9,<h3>Suunto 7</h3>,"<div class=""value"">Google, Wear os by</div>","<div class=""value"">Yes</div>"
